Data,M1 - média - R$ - Banco Central do Brasil- Notas Econômico-financeiras para a Imprensa- Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M1MN12,
1980.01,3.00363636363636E-07,
1980.02,3.05090909090909E-07,
1980.03,3.19272727272727E-07,
1980.04,3.40363636363636E-07,
1980.05,3.56727272727273E-07,
1980.06,3.84363636363636E-07,
1980.07,4E-07,
1980.08,4.04363636363636E-07,
1980.09,4.21454545454545E-07,
1980.10,4.37454545454545E-07,
1980.11,4.59636363636364E-07,
1980.12,5.14545454545455E-07,
1981.01,5.08727272727273E-07,
1981.02,4.97818181818182E-07,
1981.03,5.16363636363636E-07,
1981.04,5.42545454545455E-07,
1981.05,5.54909090909091E-07,
1981.06,5.84E-07,
1981.07,6.16727272727273E-07,
1981.08,6.37454545454545E-07,
1981.09,6.64727272727273E-07,
1981.10,7.22909090909091E-07,
1981.11,7.73454545454545E-07,
1981.12,8.90545454545455E-07,
1982.01,9.41454545454545E-07,
1982.02,9.39272727272727E-07,
1982.03,9.33818181818182E-07,
1982.04,9.84363636363636E-07,
1982.05,1.03781818181818E-06,
1982.06,1.11490909090909E-06,
1982.07,1.17781818181818E-06,
1982.08,1.23527272727273E-06,
1982.09,1.25090909090909E-06,
1982.10,1.36290909090909E-06,
1982.11,1.45636363636364E-06,
1982.12,1.64036363636364E-06,
1983.01,1.64945454545455E-06,
1983.02,1.72618181818182E-06,
1983.03,1.69527272727273E-06,
1983.04,1.78072727272727E-06,
1983.05,1.81381818181818E-06,
1983.06,1.91963636363636E-06,
1983.07,2.14036363636364E-06,
1983.08,2.15381818181818E-06,
1983.09,2.35745454545455E-06,
1983.10,2.54981818181818E-06,
1983.11,2.712E-06,
1983.12,3.236E-06,
1984.01,3.372E-06,
1984.02,3.30254545454545E-06,
1984.03,3.57854545454545E-06,
1984.04,3.92836363636364E-06,
1984.05,4.19854545454545E-06,
1984.06,4.55090909090909E-06,
1984.07,5.03018181818182E-06,
1984.08,5.35963636363636E-06,
1984.09,5.94218181818182E-06,
1984.10,6.44581818181818E-06,
1984.11,7.06072727272727E-06,
1984.12,9.06072727272727E-06,
1985.01,9.24581818181818E-06,
1985.02,9.82981818181818E-06,
1985.03,1.06614545454545E-05,
1985.04,1.18112727272727E-05,
1985.05,1.2752E-05,
1985.06,1.45174545454545E-05,
1985.07,1.67032727272727E-05,
1985.08,1.88592727272727E-05,
1985.09,2.2024E-05,
1985.10,2.37581818181818E-05,
1985.11,2.68225454545455E-05,
