Date;27576 - Commodity Index - Brazil - Metal - Index
01/1998;30.66
02/1998;30.64
03/1998;30.70
04/1998;30.92
05/1998;30.18
06/1998;29.57
07/1998;29.76
08/1998;29.85
09/1998;29.79
10/1998;29.12
11/1998;28.93
12/1998;28.44
01/1999;34.58
02/1999;44.54
03/1999;44.09
04/1999;40.68
05/1999;41.40
06/1999;42.50
07/1999;45.15
08/1999;48.13
09/1999;49.99
10/1999;51.66
11/1999;50.90
12/1999;50.20
01/2000;51.53
02/2000;50.04
03/2000;47.55
04/2000;46.29
05/2000;47.98
06/2000;47.83
07/2000;48.43
08/2000;48.27
09/2000;50.64
10/2000;49.45
11/2000;50.11
12/2000;52.04
01/2001;52.43
02/2001;54.00
03/2001;53.94
04/2001;55.80
05/2001;59.10
06/2001;59.30
07/2001;59.71
08/2001;59.54
09/2001;61.84
10/2001;62.13
11/2001;59.06
12/2001;54.97
01/2002;56.17
02/2002;56.77
03/2002;56.19
04/2002;55.32
05/2002;58.85
06/2002;65.58
07/2002;70.87
08/2002;72.25
09/2002;78.22
10/2002;89.68
11/2002;87.13
12/2002;88.39
01/2003;85.31
02/2003;93.36
03/2003;88.82
04/2003;78.27
05/2003;76.59
06/2003;74.44
07/2003;75.29
08/2003;79.58
09/2003;78.00
10/2003;80.59
11/2003;84.19
12/2003;89.25
01/2004;90.82
02/2004;101.40
03/2004;104.37
04/2004;106.15
05/2004;107.22
06/2004;109.29
07/2004;106.97
08/2004;108.79
09/2004;107.67
10/2004;109.07
11/2004;110.63
12/2004;108.47
01/2005;111.06
02/2005;109.01
03/2005;117.55
04/2005;106.79
05/2005;96.22
06/2005;90.57
07/2005;85.06
08/2005;90.36
09/2005;88.20
10/2005;88.79
11/2005;89.72
12/2005;100.00
01/2006;104.65
02/2006;102.09
03/2006;102.86
04/2006;111.04
05/2006;121.37
06/2006;112.93
07/2006;114.13
08/2006;113.68
09/2006;116.30
10/2006;123.34
11/2006;129.24
12/2006;132.91
01/2007;129.95
02/2007;130.53
03/2007;131.52
04/2007;135.28
05/2007;135.63
06/2007;130.28
07/2007;131.57
08/2007;129.92
09/2007;124.37
10/2007;125.16
11/2007;119.06
12/2007;112.21
01/2008;114.61
02/2008;121.93
03/2008;128.62
04/2008;125.72
05/2008;120.39
06/2008;112.06
07/2008;113.02
08/2008;102.75
09/2008;105.41
10/2008;100.62
11/2008;93.74
12/2008;85.55
01/2009;85.71
02/2009;84.97
03/2009;85.71
04/2009;88.25
05/2009;89.61
06/2009;91.94
07/2009;90.62
08/2009;97.36
09/2009;97.51
10/2009;96.39
11/2009;99.04
12/2009;105.85
01/2010;112.73
02/2010;107.98
03/2010;112.22
04/2010;117.25
05/2010;109.69
06/2010;103.21
07/2010;103.83
08/2010;112.92
09/2010;117.27
10/2010;126.86
11/2010;129.61
12/2010;133.34
01/2011;136.23
02/2011;145.49
03/2011;144.90
04/2011;146.73
05/2011;136.49
06/2011;129.76
07/2011;134.04
08/2011;129.28
09/2011;133.91
10/2011;124.93
11/2011;125.33
12/2011;122.88
01/2012;126.53
02/2012;129.97
03/2012;132.15
04/2012;132.10
05/2012;133.20
06/2012;131.59
07/2012;128.60
08/2012;128.80
09/2012;143.15
10/2012;141.79
11/2012;142.40
12/2012;150.16
01/2013;149.25
02/2013;144.98
03/2013;137.22
04/2013;129.79
05/2013;127.62
06/2013;132.37
07/2013;133.78
08/2013;148.77
09/2013;144.31
10/2013;140.85
11/2013;144.34
12/2013;147.96
01/2014;149.50
02/2014;150.76
03/2014;145.86
04/2014;142.47
05/2014;140.90
06/2014;142.82
07/2014;147.10
08/2014;149.81
09/2014;148.01
10/2014;149.14
11/2014;155.67
12/2014;155.88
01/2015;151.62
02/2015;157.86
03/2015;171.11
04/2015;166.85
05/2015;169.74
06/2015;162.38
07/2015;161.82
08/2015;169.74
09/2015;189.00
10/2015;189.09
11/2015;172.25
12/2015;175.48
01/2016;179.01
02/2016;189.38
03/2016;184.86
04/2016;181.15
05/2016;178.85
06/2016;176.96
07/2016;180.87
08/2016;179.93
09/2016;184.53
10/2016;182.41
11/2016;203.21
12/2016;204.77
01/2017;197.06
02/2017;194.84
03/2017;196.18
04/2017;193.74
05/2017;195.29
06/2017;198.80
07/2017;199.63
08/2017;207.01
09/2017;211.02
10/2017;217.08
11/2017;218.67
12/2017;219.70
01/2018;226.95
02/2018;231.79
03/2018;224.14
04/2018;236.50
05/2018;250.89
06/2018;260.76
07/2018;244.25
08/2018;242.48
09/2018;249.44
10/2018;232.99
11/2018;229.03
12/2018;235.59
01/2019;230.31
02/2019;237.39
03/2019;247.03
04/2019;247.49
05/2019;242.52
06/2019;231.93
07/2019;225.68
08/2019;232.67
09/2019;243.61
10/2019;242.26
11/2019;242.82
12/2019;239.40
