Data,Transações correntes - Saldo (Nova metod. - BPM6) - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM6) (BCB / BP (BPM6)) - BPAG12_TC12,
1995.01,-1411.40079288,
1995.02,-2053.38173466,
1995.03,-2246.23605082,
1995.04,-2878.637536305,
1995.05,-1450.895312885,
1995.06,-2327.11461396,
1995.07,-1146.015196815,
1995.08,-701.232699389999,
1995.09,-574.2147034,
1995.10,-1946.705737435,
1995.11,-811.111771085,
1995.12,-1165.47578838,
1996.01,-1283.59959644296,
1996.02,-683.940416367923,
1996.03,-1557.36645393473,
1996.04,-1739.15023571516,
1996.05,-941.033226634572,
1996.06,-1634.6732469448,
1996.07,-2407.64341868881,
1996.08,-1275.32245590819,
1996.09,-2180.04489830198,
1996.10,-3787.7642984247,
1996.11,-2032.23024004204,
1996.12,-4320.25941009764,
1997.01,-448.416821975288,
1997.02,-2054.27000000349,
1997.03,-2236.12021499865,
1997.04,-3788.47895749528,
1997.05,-1638.31614329789,
1997.06,-2477.64207796692,
1997.07,-3108.33382001867,
1997.08,-1754.32611265744,
1997.09,-2431.28073774071,
1997.10,-3840.4885318047,
1997.11,-3259.08771819489,
1997.12,-3815.24357178208,
1998.01,-2203.16145029994,
1998.02,-1556.43200666318,
1998.03,-2452.10983487003,
1998.04,-2869.27637246528,
1998.05,-2095.05359528374,
1998.06,-2509.6390104774,
1998.07,-2083.23238952459,
1998.08,-1812.38794287488,
1998.09,-4888.37458205977,
1998.10,-4998.87719636938,
1998.11,-2732.32880233367,
1998.12,-3691.34071688291,
1999.01,-2483.09576386562,
1999.02,-1064.87448904118,
1999.03,-2080.11163269398,
1999.04,-2668.88610505787,
1999.05,-1630.44798690187,
1999.06,-2976.97415146158,
1999.07,-1598.09601873218,
1999.08,-2036.68426069708,
1999.09,-1394.64958061737,
1999.10,-2526.14198506235,
1999.11,-2362.57808699053,
1999.12,-3046.89055899929,
2000.01,-955.723186964399,
2000.02,-1200.9422593018,
2000.03,-1940.40377639406,
2000.04,-3011.76163859635,
2000.05,-1639.08590819045,
2000.06,-2465.47589527903,
2000.07,-1364.40196530975,
2000.08,-1500.17872392717,
2000.09,-1662.10211018614,
2000.10,-3509.49258397135,
2000.11,-2576.359984139,
2000.12,-2967.59503189798,
2001.01,-2347.06781429824,
2001.02,-1784.15689233441,
2001.03,-2643.57382339025,
2001.04,-2413.53418025445,
2001.05,-2259.56365213562,
2001.06,-2163.41793171845,
2001.07,-2073.17850211624,
2001.08,-1183.08954790826,
2001.09,-945.209700793978,
2001.10,-2481.53778177856,
2001.11,-1581.58187618405,
2001.12,-1845.49253393451,
2002.01,-1210.95169084981,
2002.02,-1112.26099710444,
2002.03,-1041.95989878259,
2002.04,-2008.81799437256,
2002.05,-1942.20643465075,
2002.06,-1328.6846234888,
2002.07,-581.477159290071,
2002.08,274.87882000024,
2002.09,1196.92556209359,
2002.10,-56.3874245902839,
2002.11,-174.458213009316,
2002.12,-111.405984781624,
2003.01,138.495507564523,
2003.02,-228.580446604753,
2003.03,153.127466788406,
2003.04,-965.216387197923,
2003.05,858.225336527293,
2003.06,435.122532453912,
2003.07,720.583556154065,
2003.08,1193.86412999585,
2003.09,1283.90411708023,
2003.10,39.0268467159122,
2003.11,-176.208209169505,
2003.12,307.710445313707,
2004.01,649.941977838197,
2004.02,175.602054971549,
2004.03,736.53108769218,
2004.04,-777.370253952338,
2004.05,1436.96450267581,
2004.06,1993.86953333937,
2004.07,1771.42761868991,
2004.08,1718.55273758261,
2004.09,1723.12599285002,
2004.10,1008.17251136213,
2004.11,-243.644625685302,
2004.12,1153.58637062883,
2005.01,755.991708403478,
2005.02,107.136494897841,
2005.03,1715.91471855304,
2005.04,689.2334652868,
2005.05,499.656433856542,
2005.06,1245.71341031863,
2005.07,2505.90219573195,
2005.08,737.719870293656,
2005.09,2313.59451473074,
2005.10,815.021787404657,
2005.11,1659.52382353151,
2005.12,501.815876311481,
2006.01,-360.788027699302,
2006.02,584.796752680798,
2006.03,1263.3940318795,
2006.04,83.3308394313118,
2006.05,340.989286138141,
2006.06,561.516675569967,
2006.07,3006.79157579764,
2006.08,2130.64625700655,
2006.09,2196.41461108946,
2006.10,1494.46782846848,
2006.11,1344.60544193806,
2006.12,383.755026209485,
2007.01,-430.850064370409,
2007.02,326.080589905653,
2007.03,185.498836609195,
2007.04,1744.19899780475,
2007.05,-217.10935459262,
2007.06,399.878878875568,
2007.07,-968.229182528748,
2007.08,1233.2287544356,
2007.09,481.506226977005,
2007.10,-216.477000421783,
2007.11,-1561.51372392394,
2007.12,-568.182242583761,
2008.01,-4714.24133871587,
2008.02,-1983.11234056361,
2008.03,-4401.69701649077,
2008.04,-3108.61594247591,
2008.05,-984.160906362162,
2008.06,-2856.23001279963,
2008.07,-3089.46933429108,
2008.08,-1210.99375927109,
2008.09,-2796.36453468992,
2008.10,-1232.86036310916,
2008.11,-1109.65191306028,
2008.12,-3153.05398068327,
2009.01,-3450.34077590272,
2009.02,-647.128108138069,
2009.03,-1562.45611385782,
2009.04,124.804773327001,
2009.05,-1886.24229739773,
2009.06,-605.634882772623,
2009.07,-2554.78768092296,
2009.08,-828.463868612093,
2009.09,-2442.11299195245,
2009.10,-3021.80466830137,
2009.11,-3447.28209010534,
2009.12,-5939.78959224719,
2010.01,-7794.03369627,
2010.02,-5586.077341845,
2010.03,-8048.08867433,
2010.04,-6151.36529217,
2010.05,-4802.21305971,
2010.06,-6558.688786905,
2010.07,-9131.456121465,
2010.08,-5381.455572115,
2010.09,-7319.25603339,
2010.10,-6324.922076275,
2010.11,-7794.060500245,
2010.12,-4122.58049139,
2011.01,-9689.327528915,
2011.02,-4614.05545239,
2011.03,-6137.422941815,
2011.04,-5582.508167065,
2011.05,-6050.14823115,
2011.06,-5588.99641359,
2011.07,-8201.91157748,
2011.08,-5473.14759292501,
2011.09,-5069.57256132,
2011.10,-5424.30005214,
2011.11,-7865.426475645,
2011.12,-6591.07620473,
2012.01,-11680.097312915,
2012.02,-4696.251444255,
2012.03,-6122.881695025,
2012.04,-6194.449110345,
2012.05,-6135.02709016,
2012.06,-7064.72030941501,
2012.07,-7931.10504673,
