Date;21865 - Physical Production - Consumer goods - Index
01/2002;70.9
02/2002;67.4
03/2002;73.9
04/2002;77.6
05/2002;76.4
06/2002;71.9
07/2002;79.9
08/2002;82.6
09/2002;81.7
10/2002;92.6
11/2002;86.9
12/2002;75.2
01/2003;70.6
02/2003;68.1
03/2003;69.5
04/2003;70.6
05/2003;73.8
06/2003;70.2
07/2003;75.7
08/2003;77.2
09/2003;83.2
10/2003;89.5
11/2003;85.2
12/2003;77.4
01/2004;72.6
02/2004;67.6
03/2004;80.8
04/2004;75.6
05/2004;78.4
06/2004;79.0
07/2004;82.4
08/2004;87.0
09/2004;90.1
10/2004;91.4
11/2004;93.7
12/2004;85.8
01/2005;78.7
02/2005;73.4
03/2005;84.7
04/2005;84.3
05/2005;87.1
06/2005;87.6
07/2005;87.1
08/2005;94.8
09/2005;90.2
10/2005;93.2
11/2005;95.5
12/2005;90.0
01/2006;82.1
02/2006;79.9
03/2006;91.4
04/2006;83.2
05/2006;92.7
06/2006;88.5
07/2006;90.0
08/2006;97.5
09/2006;93.5
10/2006;100.3
11/2006;99.7
12/2006;88.1
01/2007;84.3
02/2007;80.1
03/2007;93.6
04/2007;87.0
05/2007;97.2
06/2007;94.1
07/2007;96.2
08/2007;104.2
09/2007;98.3
10/2007;110.1
11/2007;106.5
12/2007;91.5
01/2008;92.0
02/2008;85.0
03/2008;93.0
04/2008;96.0
05/2008;98.5
06/2008;98.2
07/2008;102.3
08/2008;103.7
09/2008;106.9
10/2008;110.3
11/2008;97.9
12/2008;81.2
01/2009;78.5
02/2009;77.3
03/2009;91.3
04/2009;87.2
05/2009;93.4
06/2009;91.9
07/2009;98.4
08/2009;101.9
09/2009;101.8
10/2009;110.4
11/2009;105.4
12/2009;94.4
01/2010;88.1
02/2010;88.0
03/2010;105.4
04/2010;97.0
05/2010;100.9
06/2010;97.8
07/2010;102.4
08/2010;107.0
09/2010;107.0
10/2010;110.7
11/2010;109.9
12/2010;96.5
01/2011;90.8
02/2011;95.2
03/2011;102.8
04/2011;94.2
05/2011;103.7
06/2011;96.8
07/2011;102.5
08/2011;109.7
09/2011;103.2
10/2011;106.5
11/2011;106.0
12/2011;94.5
01/2012;87.8
02/2012;87.5
03/2012;100.5
04/2012;91.6
05/2012;100.2
06/2012;94.9
07/2012;102.0
08/2012;112.2
09/2012;104.2
10/2012;115.6
11/2012;111.0
12/2012;92.4
01/2013;94.8
02/2013;86.4
03/2013;96.8
04/2013;103.0
05/2013;104.4
06/2013;100.7
07/2013;106.2
08/2013;112.3
09/2013;109.1
10/2013;116.3
11/2013;110.2
12/2013;91.3
01/2014;93.2
02/2014;95.8
03/2014;97.5
04/2014;97.0
05/2014;102.4
06/2014;90.1
07/2014;104.2
08/2014;105.6
09/2014;109.7
10/2014;114.5
11/2014;104.3
12/2014;88.6
01/2015;86.6
02/2015;82.4
03/2015;94.3
04/2015;86.4
05/2015;90.4
06/2015;88.5
07/2015;93.9
08/2015;96.6
09/2015;96.7
10/2015;100.2
11/2015;93.4
12/2015;80.5
01/2016;76.5
02/2016;75.6
03/2016;86.4
04/2016;84.3
05/2016;85.7
06/2016;86.6
07/2016;86.6
08/2016;93.4
09/2016;92.6
10/2016;93.0
11/2016;91.0
12/2016;79.2
01/2017;78.8
02/2017;77.7
03/2017;88.8
04/2017;77.7
05/2017;90.4
06/2017;86.5
07/2017;91.0
08/2017;99.5
09/2017;95.0
10/2017;99.7
11/2017;95.6
12/2017;82.7
01/2018;83.2
02/2018;79.5
03/2018;90.3
04/2018;89.2
05/2018;81.7
06/2018;90.2
07/2018;95.0
08/2018;101.1
09/2018;92.8
10/2018;101.2
11/2018;94.6
12/2018;79.1
01/2019;81.1
02/2019;84.0
03/2019;83.4
04/2019;88.8
05/2019;94.0
06/2019;85.5
07/2019;96.2
08/2019;99.4
09/2019;95.8
10/2019;105.3
