Date;24352 - Capacity utilization – manufacturing industry (FGV) - %
01/2001;81.00
02/2001;81.20
03/2001;81.60
04/2001;80.70
05/2001;80.90
06/2001;79.50
07/2001;79.00
08/2001;78.80
09/2001;79.40
10/2001;79.70
11/2001;80.20
12/2001;80.00
01/2002;78.60
02/2002;78.50
03/2002;78.60
04/2002;77.40
05/2002;78.30
06/2002;77.50
07/2002;77.70
08/2002;77.90
09/2002;78.80
10/2002;79.50
11/2002;80.40
12/2002;80.50
01/2003;79.40
02/2003;79.40
03/2003;79.40
04/2003;78.30
05/2003;78.80
06/2003;77.60
07/2003;77.40
08/2003;78.30
09/2003;80.00
10/2003;81.40
11/2003;81.80
12/2003;81.50
01/2004;80.00
02/2004;80.10
03/2004;80.20
04/2004;79.20
05/2004;80.60
06/2004;80.40
07/2004;81.10
08/2004;81.60
09/2004;83.00
10/2004;84.00
11/2004;84.40
12/2004;84.00
01/2005;82.40
02/2005;82.30
03/2005;82.20
04/2005;81.00
05/2005;81.50
06/2005;80.30
07/2005;80.10
08/2005;80.40
09/2005;81.60
10/2005;82.40
11/2005;81.80
12/2005;81.50
01/2006;80.50
02/2006;80.20
03/2006;80.90
04/2006;79.40
05/2006;80.70
06/2006;80.40
07/2006;81.50
08/2006;81.90
09/2006;83.10
10/2006;83.40
11/2006;83.50
12/2006;82.90
01/2007;80.70
02/2007;82.70
03/2007;81.30
04/2007;81.60
05/2007;82.30
06/2007;83.10
07/2007;83.30
08/2007;83.70
09/2007;85.00
10/2007;86.50
11/2007;86.60
12/2007;85.80
01/2008;84.10
02/2008;84.30
03/2008;84.40
04/2008;83.80
05/2008;84.00
06/2008;84.30
07/2008;84.90
08/2008;85.50
09/2008;85.60
10/2008;86.00
11/2008;84.80
12/2008;80.10
01/2009;75.70
02/2009;76.80
03/2009;76.00
04/2009;76.20
05/2009;77.30
06/2009;78.00
07/2009;77.50
08/2009;79.60
09/2009;81.50
10/2009;82.90
11/2009;83.90
12/2009;83.70
01/2010;80.70
02/2010;82.10
03/2010;81.90
04/2010;82.80
05/2010;83.30
06/2010;83.80
07/2010;83.90
08/2010;84.40
09/2010;84.50
10/2010;86.00
11/2010;86.00
12/2010;85.40
01/2011;82.10
02/2011;82.40
03/2011;81.80
04/2011;82.20
05/2011;83.00
06/2011;82.90
07/2011;82.50
08/2011;82.60
09/2011;83.20
10/2011;84.30
11/2011;84.10
12/2011;83.00
01/2012;80.60
02/2012;81.90
03/2012;80.90
04/2012;80.80
05/2012;81.80
06/2012;81.60
07/2012;81.80
08/2012;83.00
09/2012;83.00
10/2012;84.00
11/2012;84.00
12/2012;84.10
01/2013;80.50
02/2013;81.80
03/2013;81.20
04/2013;81.00
05/2013;81.90
06/2013;82.30
07/2013;82.30
08/2013;83.00
09/2013;83.10
10/2013;84.20
11/2013;85.10
12/2013;84.00
01/2014;81.00
02/2014;82.00
03/2014;81.50
04/2014;80.80
05/2014;81.30
06/2014;81.10
07/2014;80.10
08/2014;80.80
09/2014;81.40
10/2014;81.50
11/2014;82.60
12/2014;80.40
01/2015;77.60
02/2015;78.60
03/2015;77.30
04/2015;76.40
05/2015;76.00
06/2015;75.30
07/2015;74.50
08/2015;75.30
09/2015;75.70
10/2015;76.50
11/2015;76.80
12/2015;76.40
01/2016;72.40
02/2016;73.50
03/2016;72.60
04/2016;73.20
05/2016;73.10
06/2016;73.40
07/2016;73.50
08/2016;73.90
09/2016;75.40
10/2016;75.20
11/2016;76.20
12/2016;74.00
01/2017;73.20
02/2017;73.70
03/2017;73.30
04/2017;73.40
05/2017;74.00
06/2017;73.60
07/2017;74.00
08/2017;74.20
09/2017;74.90
10/2017;76.00
11/2017;76.60
12/2017;75.90
01/2018;73.30
02/2018;75.20
03/2018;75.10
04/2018;75.50
05/2018;75.90
06/2018;75.60
07/2018;75.10
08/2018;76.00
09/2018;77.70
10/2018;77.90
11/2018;77.30
12/2018;75.70
01/2019;72.70
02/2019;74.10
03/2019;73.60
04/2019;73.50
05/2019;74.80
06/2019;74.50
07/2019;74.90
08/2019;75.90
09/2019;76.50
10/2019;77.50
11/2019;77.30
