Data,Consumo - energia elétrica - qde. - GWh - Eletrobras - ELETRO12_CEET12,
1976.01,5660.6,
1976.02,5529.5,
1976.03,5685.3,
1976.04,5717.4,
1976.05,5854.3,
1976.06,5848.7,
1976.07,6037.3,
1976.08,6115.1,
1976.09,6264,
1976.10,6274.7,
1976.11,6352.2,
1976.12,6295.8,
1977.01,6338.6,
1977.02,6317.8,
1977.03,6279.2,
1977.04,6617.5,
1977.05,6628.7,
1977.06,6608.2,
1977.07,6677.3,
1977.08,6795.8,
1977.09,7092.7,
1977.10,7092.7,
1977.11,7165.5,
1977.12,7190.7,
1978.01,7056.3,
1978.02,7260.7,
1978.03,7120.5,
1978.04,7318.3,
1978.05,7294.8,
1978.06,7444.5,
1978.07,7386.7,
1978.08,7627.7,
1978.09,7856.6,
1978.10,7803.4,
1978.11,7997.3,
1978.12,7903.7,
1979.01,7947,
1979.02,7859,
1979.03,8108,
1979.04,8138,
1979.05,8355,
1979.06,8379,
1979.07,8455,
1979.08,8496,
1979.09,8805,
1979.10,8682,
1979.11,8963,
1979.12,8959,
1980.01,9003,
1980.02,8891,
1980.03,8956,
1980.04,9066,
1980.05,9251,
1980.06,9298,
1980.07,9234,
1980.08,9679,
1980.09,9614,
1980.10,9608,
1980.11,9954,
1980.12,9501,
1981.01,10102,
1981.02,9468,
1981.03,9804,
1981.04,9405,
1981.05,9656,
1981.06,9360,
1981.07,9470,
1981.08,9752,
1981.09,9486,
1981.10,9589,
1981.11,9781,
1981.12,9529,
1982.01,9885,
1982.02,9393,
1982.03,9712,
1982.04,10447,
1982.05,9999,
1982.06,10193,
1982.07,10325,
1982.08,10541,
1982.09,10698,
1982.10,10515,
1982.11,10644,
1982.12,10453,
1983.01,10630,
1983.02,10253,
1983.03,10360,
1983.04,11266,
1983.05,10788,
1983.06,11411,
1983.07,10945,
1983.08,11077,
1983.09,11608,
1983.10,11402,
1983.11,11366,
1983.12,11332,
1984.01,11642,
1984.02,11968,
1984.03,12207,
1984.04,11626,
1984.05,12031,
1984.06,12277,
1984.07,12210,
1984.08,12698,
1984.09,12953,
1984.10,12520,
1984.11,13420,
1984.12,12845,
1985.01,13204,
1985.02,13114,
1985.03,13079,
1985.04,13651,
1985.05,13224,
1985.06,13528,
1985.07,12965,
1985.08,13969,
1985.09,13918,
1985.10,14002,
1985.11,14320,
1985.12,14041,
1986.01,14120,
1986.02,13709,
1986.03,13152,
1986.04,13894,
1986.05,14756,
1986.06,14514,
1986.07,14502,
1986.08,15227,
1986.09,15028,
1986.10,15124,
1986.11,15559,
1986.12,14685,
1987.01,15698,
1987.02,14422,
1987.03,14885,
1987.04,14412,
1987.05,14940,
1987.06,14357,
1987.07,14618,
1987.08,15267,
1987.09,15093,
1987.10,15220,
1987.11,15568,
1987.12,15092,
1988.01,15798,
1988.02,15379,
1988.03,15466,
1988.04,16087,
1988.05,15117,
1988.06,15482,
1988.07,15649,
1988.08,15529,
1988.09,16418,
1988.10,16286,
1988.11,15592,
1988.12,15794,
1989.01,15882,
1989.02,16006,
1989.03,15232,
1989.04,16510,
1989.05,15872,
1989.06,16383,
1989.07,16669,
1989.08,16566,
1989.09,17513,
1989.10,16810,
1989.11,17208,
1989.12,16534,
1990.01,16919,
1990.02,16907,
1990.03,16513,
1990.04,16626,
1990.05,15357,
1990.06,16266,
1990.07,16025,
1990.08,16800,
1990.09,17602,
1990.10,16974,
1990.11,17837,
1990.12,16813,
1991.01,16795,
1991.02,16892,
1991.03,16010,
1991.04,16876,
1991.05,17439,
1991.06,17744,
1991.07,17276,
1991.08,18179,
1991.09,18214,
1991.10,17986,
1991.11,18373,
1991.12,17624,
1992.01,17750,
1992.02,17706,
1992.03,17710,
1992.04,17306,
1992.05,17810,
1992.06,17424,
1992.07,17665,
1992.08,18107,
1992.09,17827,
1992.10,17821,
1992.11,18111,
1992.12,17520,
1993.01,18070,
1993.02,17416,
1993.03,17781,
1993.04,19100,
1993.05,18312,
1993.06,18316,
1993.07,18259,
1993.08,18673,
1993.09,18881,
1993.10,18630,
1993.11,18879,
1993.12,18331,
1994.01,18513,
1994.02,18164,
1994.03,18130,
1994.04,19073,
1994.05,18179,
1994.06,18851,
1994.07,18177,
1994.08,18558,
1994.09,19666,
1994.10,19597,
1994.11,19519,
1994.12,19498,
1995.01,20175,
1995.02,19829,
1995.03,20085,
1995.04,20548,
1995.05,19866,
1995.06,19954,
1995.07,20041,
1995.08,20062,
1995.09,21108,
1995.10,20415,
1995.11,21199,
1995.12,20554,
1996.01,20662,
1996.02,21093,
1996.03,21027,
1996.04,21546,
1996.05,21206,
1996.06,21345,
1996.07,20882,
1996.08,22006,
1996.09,21953,
1996.10,21946,
1996.11,22087,
1996.12,21858,
1997.01,22566,
1997.02,22332,
1997.03,21818,
1997.04,22306,
1997.05,22698,
1997.06,22255,
1997.07,22442,
1997.08,23110,
1997.09,23161,
1997.10,23614,
1997.11,23954,
1997.12,23025,
1998.01,23920,
1998.02,23065,
1998.03,23083,
1998.04,24178,
1998.05,23830,
1998.06,22952,
1998.07,23265,
1998.08,24082,
1998.09,24266,
1998.10,24181,
1998.11,24058,
1998.12,23645,
1999.01,23901,
1999.02,23370,
1999.03,23815,
1999.04,25247,
1999.05,23882,
1999.06,24065,
1999.07,24028,
1999.08,24490,
1999.09,24886,
1999.10,24705,
1999.11,24958,
1999.12,24843,
2000.01,25060,
2000.02,25057,
2000.03,25662,
2000.04,25598,
2000.05,25448,
2000.06,25445,
2000.07,25287,
2000.08,25470,
2000.09,25777,
2000.10,26313,
2000.11,26579,
2000.12,25834,
2001.01,25878,
2001.02,26410,
2001.03,26487,
2001.04,27097,
2001.05,26311,
2001.06,23723,
2001.07,20447,
2001.08,20809,
2001.09,21338,
2001.10,21305,
2001.11,21824,
2001.12,21630,
2002.01,22324,
2002.02,22695,
2002.03,23251,
2002.04,24719,
2002.05,24728,
2002.06,24234,
2002.07,23695,
2002.08,24442,
2002.09,24438,
2002.10,24924,
2002.11,25468,
2002.12,24949,
2003.01,25152,
2003.02,24965,
2003.03,25281,
2003.04,24787,
2003.05,24889,
2003.06,24535,
2003.07,24443,
2003.08,24629,
2003.09,24621,
2003.10,25715,
2003.11,25786,
2003.12,26189,
2004.01,25393,
2004.02,24906,
2004.03,25499,
2004.04,26085,
2004.05,26373,
2004.06,26189,
2004.07,26389,
2004.08,26674,
2004.09,27305,
2004.10,27626,
2004.11,27399,
2004.12,27590,
2005.01,27803,
2005.02,27117,
2005.03,27827,
2005.04,28511,
2005.05,27766,
2005.06,27788,
2005.07,27564,
2005.08,27784,
2005.09,28216,
2005.10,28280,
2005.11,28662,
2005.12,28599,
2006.01,30786,
2006.02,30185,
2006.03,31206,
2006.04,29635,
2006.05,29375,
2006.06,28651,
2006.07,28406,
2006.08,29400,
2006.09,29421,
2006.10,29660,
2006.11,30645,
2006.12,30604,
2007.01,30670,
2007.02,30415,
2007.03,31708,
2007.04,32101,
2007.05,31567,
2007.06,30862,
2007.07,30641,
2007.08,31312,
2007.09,31842,
2007.10,32244,
2007.11,32765,
2007.12,32427,
2008.01,32325,
2008.02,32121,
2008.03,32441,
2008.04,32280,
2008.05,32631,
2008.06,32129,
2008.07,32559,
2008.08,33326,
2008.09,33353,
2008.10,34082,
2008.11,33781,
2008.12,31816,
2009.01,30919,
2009.02,30777,
2009.03,32316,
2009.04,32401,
2009.05,31326,
2009.06,31103,
2009.07,31713,
2009.08,32678,
2009.09,33099,
2009.10,33723,
2009.11,34077,
2009.12,34479,
2010.01,33362,
2010.02,33731,
2010.03,35118,
2010.04,35027,
2010.05,34298,
2010.06,34171,
2010.07,33851,
2010.08,34715,
2010.09,35184,
2010.10,35190,
2010.11,35079,
2010.12,35958,
2011.01,35875,
2011.02,35446,
2011.03,36352,
2011.04,36050,
2011.05,35567,
2011.06,35161,
2011.07,35419,
2011.08,36337,
2011.09,36967,
2011.10,36745,
2011.11,36370,
2011.12,36744,
2012.01,36303,
2012.02,36899,
2012.03,38621,
2012.04,37994,
2012.05,36809,
2012.06,36527,
2012.07,35916,
2012.08,37205,
2012.09,37661,
2012.10,37794,
2012.11,38642,
2012.12,37763,
2013.01,38311,
2013.02,38004,
2013.03,38440,
2013.04,38652,
2013.05,38343,
2013.06,37626,
2013.07,37696,
2013.08,38612,
2013.09,38523,
2013.10,39387,
2013.11,39919,
2013.12,39555,
2014.01,40211,
2014.02,41383,
2014.03,40198,
2014.04,39428,
2014.05,38989,
2014.06,37575,
2014.07,37724,
2014.08,38567,
2014.09,38805,
2014.10,40025,
2014.11,40814,
2014.12,39838,
2015.01,40629,
2015.02,40545,
2015.03,39757,
2015.04,39533,
2015.05,38059,
2015.06,37131,
2015.07,36684,
2015.08,37725,
2015.09,37716,
2015.10,39168,
2015.11,39114,
2015.12,38539,
2016.01,38225,
2016.02,38504,
2016.03,39218,
2016.04,40091,
2016.05,38526,
2016.06,37422,
2016.07,37108,
2016.08,37539,
2016.09,38232,
2016.10,38058,
2016.11,38609,
2016.12,38624,
2017.01,39138,
2017.02,38576,
2017.03,40408,
2017.04,39188,
2017.05,38034,
2017.06,37864,
2017.07,37223,
2017.08,37658,
2017.09,38773,
2017.10,39152,
2017.11,39629,
2017.12,39396,
2018.01,39509,
2018.02,39225,
2018.03,39968,
2018.04,40606,
2018.05,39143,
2018.06,37791,
2018.07,37894,
2018.08,38596,
2018.09,39080,
2018.10,39742,
2018.11,40318,
2018.12,39771,
2019.01,41142,
2019.02,41162,
2019.03,40938,
2019.04,39534,
2019.05,40435,
2019.06,38213,
2019.07,38265,
2019.08,38613,
2019.09,39183,
