Data,Conta Financeira - Saldo (Captações - Concessões) (Nova metod. - BPM6) - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM6) (BCB / BP (BPM6)) - BPAG12_CF12,
1995.01,-1424.95841348,
1995.02,-1678.50305666,
1995.03,-2171.7159629,
1995.04,-2398.983968305,
1995.05,-1114.709490885,
1995.06,-2432.43982176,
1995.07,-279.475252815,
1995.08,-394.53912723,
1995.09,-495.24889955,
1995.10,-1373.542040435,
1995.11,-985.063672315,
1995.12,-1738.06960538,
1996.01,-1677.771242445,
1996.02,-1583.259548565,
1996.03,-1475.503523045,
1996.04,-1706.41261679,
1996.05,-722.078175969999,
1996.06,-1656.176799185,
1996.07,-2373.44779434,
1996.08,-1578.671631305,
1996.09,-1814.16045363,
1996.10,-5004.379578115,
1996.11,-2287.824199695,
1996.12,-3716.64335043,
1997.01,-858.819342955494,
1997.02,-2998.90663255755,
1997.03,-2274.36660559371,
1997.04,-3966.43555355149,
1997.05,-2419.92181622725,
1997.06,-3179.0684331571,
1997.07,-1934.11412671426,
1997.08,-2592.47280845891,
1997.09,-1837.4040520883,
1997.10,-4337.9255390117,
1997.11,-3930.5809889896,
1997.12,-3681.6328023704,
1998.01,-3782.712837307,
1998.02,-1447.18621758101,
1998.03,-1916.44802135475,
1998.04,-4266.93338261801,
1998.05,-3141.64228352749,
1998.06,-3735.79324325109,
1998.07,-187.365723346675,
1998.08,-3398.04155551038,
1998.09,-5089.13968293347,
1998.10,-5450.49071832679,
1998.11,-2782.29911396111,
1998.12,-2850.58301850005,
1999.01,-3010.28941245033,
1999.02,-961.349158536493,
1999.03,-1473.35806078578,
1999.04,-2615.25752074693,
1999.05,-1823.97108928699,
1999.06,-3741.00226901621,
1999.07,-2090.65031072431,
1999.08,-1538.27886582341,
1999.09,-1233.39117836333,
1999.10,-2441.37259690595,
1999.11,-1126.24282056862,
1999.12,-3470.24125137703,
2000.01,-2182.47412070164,
2000.02,-1148.40362630309,
2000.03,-2014.75121925426,
2000.04,-2416.0539026974,
2000.05,-1086.65560617272,
2000.06,-2411.05569319069,
2000.07,-469.285487694992,
2000.08,-1836.11734825548,
2000.09,-1320.2739346159,
2000.10,-3053.95899889503,
2000.11,-1788.33440313859,
2000.12,-2268.27000544247,
2001.01,-2376.33604738982,
2001.02,-1461.9818702661,
2001.03,-2385.22251032684,
2001.04,-2773.20309650379,
2001.05,-2085.6690986032,
2001.06,-1929.88729958887,
2001.07,-2297.26976712955,
2001.08,-1507.4638267827,
2001.09,-1940.11539233022,
2001.10,-2407.00037949839,
2001.11,-1416.21558257183,
2001.12,-1600.85321635671,
2002.01,-1139.09277323719,
2002.02,-1462.68450576772,
2002.03,-1070.07313867263,
2002.04,-1878.70502642308,
2002.05,-1905.75895038666,
2002.06,-1521.70404641717,
2002.07,-668.727140840977,
2002.08,396.812317817658,
2002.09,1401.99705158204,
2002.10,-341.687876008641,
2002.11,529.31634797263,
2002.12,-497.630962051418,
2003.01,155.795425206844,
2003.02,-490.782176486224,
2003.03,50.0540668840626,
2003.04,-1141.41137779847,
2003.05,637.665661479805,
2003.06,417.461398831132,
2003.07,808.62522278737,
2003.08,1161.34566202846,
2003.09,1184.69895269678,
2003.10,168.488339734507,
2003.11,-130.058941254384,
2003.12,144.706654298124,
2004.01,535.740021297363,
2004.02,-28.8106868652901,
2004.03,682.408387130763,
2004.04,-1194.71172165119,
2004.05,1151.93173556966,
2004.06,1903.49991504578,
2004.07,1503.40936605075,
2004.08,1230.60497101379,
2004.09,1280.66920361716,
2004.10,936.727657837204,
2004.11,3.12438062928097,
2004.12,1015.38679052823,
2005.01,625.477216209566,
2005.02,300.500024860497,
2005.03,1637.62968029094,
2005.04,719.645007287793,
2005.05,673.576737560334,
2005.06,1035.45013778691,
2005.07,2341.05731761503,
2005.08,960.656968687123,
2005.09,2260.3046731926,
2005.10,490.888895160293,
2005.11,1342.26867025529,
2005.12,652.888298818572,
2006.01,-422.501989605698,
2006.02,526.153438876146,
2006.03,1302.73917141079,
2006.04,-6.00766310215295,
2006.05,247.12486494979,
2006.06,133.002334977927,
2006.07,2900.45106855707,
2006.08,2027.54061449288,
2006.09,2044.38910385013,
2006.10,1625.90983232097,
2006.11,1588.84334585904,
2006.12,1147.45888656288,
2007.01,-626.931294664546,
2007.02,-409.863209828814,
2007.03,-472.743789900727,
2007.04,2265.72883359598,
2007.05,-346.525636479973,
2007.06,251.034849475642,
2007.07,-2166.79178586365,
2007.08,304.257913656686,
2007.09,1714.07109876925,
2007.10,-274.959766447991,
2007.11,-1955.0295624713,
2007.12,-776.994345913219,
2008.01,-6528.37946317702,
2008.02,-2048.91849931628,
2008.03,-6378.43358885367,
2008.04,-4002.41005632512,
2008.05,-212.74836161014,
2008.06,-2909.8527100987,
2008.07,-4189.73772476589,
2008.08,-1174.58434337992,
2008.09,-4854.19664408156,
2008.10,402.032887857762,
2008.11,2004.0525036344,
2008.12,1086.90850714766,
2009.01,-3182.73034062272,
2009.02,-195.911237518069,
2009.03,-2055.20107866782,
2009.04,-1035.463134253,
2009.05,-213.374578817731,
2009.06,-1334.59863969263,
2009.07,-2165.79017974296,
2009.08,-319.971950382093,
2009.09,-1322.53743646245,
2009.10,-3282.09752108138,
2009.11,-2372.61198195534,
2009.12,-8873.67793063719,
2010.01,-7378.87542303,
2010.02,-5994.709558275,
2010.03,-7324.26161921,
2010.04,-4932.70856544,
2010.05,-3856.43026805,
2010.06,-6017.795694345,
2010.07,-7773.838280915,
2010.08,-4674.973606565,
2010.09,-6498.84792066,
2010.10,-5886.472048365,
2010.11,-7380.509207205,
2010.12,-2230.20782842,
2011.01,-10500.478027765,
2011.02,-3992.61413352,
2011.03,-8064.865351005,
2011.04,-5296.174117695,
2011.05,-5902.30799195,
2011.06,-5923.10418466,
2011.07,-8434.51395391,
2011.08,-6739.847958525,
2011.09,-5382.13778865,
2011.10,-4656.71805877,
2011.11,-8542.517035835,
2011.12,-7076.32200035,
2012.01,-11169.249893625,
2012.02,-4562.611927545,
2012.03,-5927.149616295,
2012.04,-6200.14323306501,
2012.05,-7505.30252837,
2012.06,-6850.742428685,
2012.07,-11574.94763048,
2012.08,-3140.940732955,
2012.09,-4795.582656095,
2012.10,-4946.96627566,
2012.11,-9432.967331685,
2012.12,-6933.33291993,
2013.01,-13748.12849779,
2013.02,-5579.661497615,
2013.03,-6168.035368205,
2013.04,-7398.22176832,
2013.05,-6207.50087529,
2013.06,-4253.256395485,
2013.07,-9821.66488916,
2013.08,-5430.896769085,
2013.09,-4719.63297749,
2013.10,-5126.10371332,
2013.11,-7280.54778099,
2013.12,-2892.76647679,
2014.01,-13227.04473606,
2014.02,-6743.468214975,
2014.03,-7267.386205345,
2014.04,-7156.13678514,
2014.05,-5289.434695755,
2014.06,-4319.049345115,
2014.07,-10938.43030645,
2014.08,-5123.139815205,
2014.09,-8228.601961475,
2014.10,-9171.18740075,
2014.11,-9236.15474828,
2014.12,-9886.536137295,
2015.01,-11974.449144645,
2015.02,-8661.335475195,
2015.03,-4976.42814795,
2015.04,-7343.2516772,
2015.05,-2993.713323275,
2015.06,-3036.12458769,
2015.07,-6553.66613588501,
2015.08,-2117.847189165,
2015.09,-3093.935442415,
2015.10,-4063.13239026,
2015.11,-3628.48544918999,
2015.12,2290.266869765,
2016.01,-5029.96305376,
2016.02,-851.210076195,
2016.03,131.105048630003,
2016.04,-1306.26822206,
2016.05,2847.838079245,
2016.06,-1673.355264345,
2016.07,-3790.75128137,
2016.08,-3.26129582500153,
2016.09,-906.469648210002,
2016.10,-2508.217338285,
2016.11,425.599018599999,
2016.12,-3048.492931685,
2017.01,-6468.19863089001,
2017.02,847.928123085001,
2017.03,77.6398720899974,
2017.04,234.641763759999,
2017.05,2798.703778035,
2017.06,998.337350215001,
2017.07,-2556.7770682,
2017.08,185.854803275,
2017.09,815.769114704998,
2017.10,-1777.50836514,
2017.11,-2044.146762085,
2017.12,-3038.40273354,
2018.01,-5710.60515186,
2018.02,-4855.906190085,
2018.03,-2427.909641605,
2018.04,-1414.42296535,
2018.05,-1737.83435707,
2018.06,-1096.48698086,
2018.07,-6976.141006775,
2018.08,-4543.73935356,
2018.09,-1761.893887415,
2018.10,-3690.630675745,
2018.11,-2152.80873436,
2018.12,-6053.403630045,
2019.01,-8924.463302035,
2019.02,-3922.23410715,
2019.03,-1875.844950515,
2019.04,-2270.418055285,
2019.05,-2235.398731935,
2019.06,-2955.20973299,
2019.07,-9674.900565205,
2019.08,-4477.568930425,
2019.09,-3217.14629761,
2019.10,-6394.25680927,
2019.11,-2265.60892852,
