Data,M0 - base monetária - média - R$ - Banco Central do Brasil- Notas Econômico-financeiras para a Imprensa- Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M0MN12,
1980.01,1.26909090909091E-07,
1980.02,1.21454545454545E-07,
1980.03,1.18181818181818E-07,
1980.04,1.28E-07,
1980.05,1.34909090909091E-07,
1980.06,1.45454545454545E-07,
1980.07,1.54909090909091E-07,
1980.08,1.58545454545455E-07,
1980.09,1.65090909090909E-07,
1980.10,1.72E-07,
1980.11,1.81090909090909E-07,
1980.12,2.15272727272727E-07,
1981.01,2.10909090909091E-07,
1981.02,2.14181818181818E-07,
1981.03,2.12363636363636E-07,
1981.04,2.15636363636364E-07,
1981.05,2.25454545454545E-07,
1981.06,2.38545454545455E-07,
1981.07,2.54909090909091E-07,
1981.08,2.68E-07,
1981.09,2.75272727272727E-07,
1981.10,2.95636363636364E-07,
1981.11,3.11272727272727E-07,
1981.12,3.85090909090909E-07,
1982.01,4.08727272727273E-07,
1982.02,4.34909090909091E-07,
1982.03,4.12E-07,
1982.04,4.28363636363636E-07,
1982.05,4.38181818181818E-07,
1982.06,4.70909090909091E-07,
1982.07,5.11272727272727E-07,
1982.08,5.29818181818182E-07,
1982.09,5.45818181818182E-07,
1982.10,5.88727272727273E-07,
1982.11,6.60363636363636E-07,
1982.12,7.64727272727273E-07,
1983.01,8.35272727272727E-07,
1983.02,8.38545454545455E-07,
1983.03,8.30909090909091E-07,
1983.04,8.40363636363636E-07,
1983.05,8.66181818181818E-07,
1983.06,8.94545454545454E-07,
1983.07,1.01563636363636E-06,
1983.08,1.05672727272727E-06,
1983.09,1.10290909090909E-06,
1983.10,1.14872727272727E-06,
1983.11,1.20581818181818E-06,
1983.12,1.50218181818182E-06,
1984.01,1.63709090909091E-06,
1984.02,1.62690909090909E-06,
1984.03,1.67345454545455E-06,
1984.04,1.748E-06,
1984.05,1.93890909090909E-06,
1984.06,2.11018181818182E-06,
1984.07,2.40363636363636E-06,
1984.08,2.55345454545455E-06,
1984.09,2.796E-06,
1984.10,3.136E-06,
1984.11,3.43090909090909E-06,
1984.12,4.37418181818182E-06,
1985.01,5.04909090909091E-06,
1985.02,5.16545454545455E-06,
1985.03,5.28218181818182E-06,
1985.04,5.71236363636364E-06,
1985.05,6.20145454545455E-06,
1985.06,6.884E-06,
1985.07,8.10436363636364E-06,
1985.08,8.59309090909091E-06,
1985.09,1.00203636363636E-05,
1985.10,1.08094545454545E-05,
1985.11,1.20087272727273E-05,
1985.12,1.5948E-05,
1986.01,1.83592727272727E-05,
1986.02,1.89072727272727E-05,
1986.03,2.14534545454545E-05,
1986.04,2.94141818181818E-05,
1986.05,3.6368E-05,
1986.06,4.17E-05,
1986.07,4.60538181818182E-05,
